id,username,ip,country,isp,asn,risk_score,classification,threat_summary,recommendations,abuse_score,vt_detections,date,source
66,koyyada_rohith,193.32.209.247,United Kingdom,Hydra Communications Ltd,AS25369,55,Suspicious,"The investigated IP address (193.32.209.247) is classified as SUSPICIOUS with an aggregate risk score of 55/100. It is registered under 'Hydra Communications Ltd' (AS25369) in United Kingdom and operates as a 'Fixed Line ISP'. AbuseIPDB reputation reports an abuse confidence score of 100% based on 1419 reports over the last 90 days. VirusTotal detected suspicious activity across 12 threat intelligence feeds. The IP is likely used as a public VPN proxy, crawling agent, or shared hosting node, warranting proactive network monitoring.",Monitor Port Connections; Add to Active Watchlist; Review Internal Traffic,100,12,2026-06-05T22:07:20.507623,Bulk_Set-3_txt_20260605_220804
67,koyyada_rohith,178.90.226.129,Kazakhstan,JSC Kazakhtelecom,AS9198,18,Safe,"The investigated IP address (178.90.226.129) is classified as SAFE with an aggregate risk score of 18/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'JSC Kazakhtelecom' (AS9198) located in Kazakhstan. Neither AbuseIPDB (5 reports) nor VirusTotal security engines (1/91 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,21,1,2026-06-05T22:07:23.775748,Bulk_Set-3_txt_20260605_220804
68,koyyada_rohith,213.209.159.225,Germany,Feo Prest SRL,AS208137,65,Malicious,"CRITICAL THREAT DETECTED: The IP address 213.209.159.225 is classified as MALICIOUS with a severe risk score of 65/100. Infrastructure analysis associates this IP with 'Feo Prest SRL' (AS208137) operating in Germany. AbuseIPDB report database correlates an active abuse score of 100% with 12841 security violations. Furthermore, VirusTotal reports severe warnings with 17/91 AV engines flags. This IP is confirmed to be part of a malicious network node involved in unauthorized access attempts, botnet operations, or malware propagation. Immediate isolation is advised.",Block IP Address; Apply Null Route (Null0); Quarantine & Inspect Hosts; Escalate to Incident Response,100,17,2026-06-05T22:07:26.590129,Bulk_Set-3_txt_20260605_220804
69,koyyada_rohith,195.184.76.31,United States,Onyphe SAS,AS213412,62,Malicious,"CRITICAL THREAT DETECTED: The IP address 195.184.76.31 is classified as MALICIOUS with a severe risk score of 62/100. Infrastructure analysis associates this IP with 'Onyphe SAS' (AS213412) operating in United States. AbuseIPDB report database correlates an active abuse score of 100% with 1396 security violations. Furthermore, VirusTotal reports severe warnings with 11/91 AV engines flags. This IP is confirmed to be part of a malicious network node involved in unauthorized access attempts, botnet operations, or malware propagation. Immediate isolation is advised.",Block IP Address; Apply Null Route (Null0); Quarantine & Inspect Hosts; Escalate to Incident Response,100,11,2026-06-05T22:07:29.120112,Bulk_Set-3_txt_20260605_220804
70,koyyada_rohith,185.234.27.226,Kazakhstan,Tele2 Kazakhstan,AS48503,12,Safe,"The investigated IP address (185.234.27.226) is classified as SAFE with an aggregate risk score of 12/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'Tele2 Kazakhstan' (AS48503) located in Kazakhstan. Neither AbuseIPDB (5 reports) nor VirusTotal security engines (0/89 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,24,0,2026-06-05T22:07:35.299947,Bulk_Set-3_txt_20260605_220804
71,koyyada_rohith,174.225.218.120,United States,Verizon Business,AS6167,2,Safe,"The investigated IP address (174.225.218.120) is classified as SAFE with an aggregate risk score of 2/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'Verizon Business' (AS6167) located in United States. Neither AbuseIPDB (1 reports) nor VirusTotal security engines (3/89 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,2,3,2026-06-05T22:07:41.622636,Bulk_Set-3_txt_20260605_220804
72,koyyada_rohith,200.58.137.90,Uruguay,Telefonica Moviles del Uruguay SA,AS19422,52,Suspicious,"The investigated IP address (200.58.137.90) is classified as SUSPICIOUS with an aggregate risk score of 52/100. It is registered under 'Telefonica Moviles del Uruguay SA' (AS19422) in Uruguay and operates as a 'Fixed Line ISP'. AbuseIPDB reputation reports an abuse confidence score of 100% based on 68 reports over the last 90 days. VirusTotal detected suspicious activity across 6 threat intelligence feeds. Tags identified: ssh-scan. The IP is likely used as a public VPN proxy, crawling agent, or shared hosting node, warranting proactive network monitoring.",Monitor Port Connections; Add to Active Watchlist; Review Internal Traffic,100,6,2026-06-05T22:07:48.279691,Bulk_Set-3_txt_20260605_220804
73,koyyada_rohith,193.32.209.246,United Kingdom,Hydra Communications Ltd,AS25369,55,Suspicious,"The investigated IP address (193.32.209.246) is classified as SUSPICIOUS with an aggregate risk score of 55/100. It is registered under 'Hydra Communications Ltd' (AS25369) in United Kingdom and operates as a 'Fixed Line ISP'. AbuseIPDB reputation reports an abuse confidence score of 100% based on 1214 reports over the last 90 days. VirusTotal detected suspicious activity across 12 threat intelligence feeds. The IP is likely used as a public VPN proxy, crawling agent, or shared hosting node, warranting proactive network monitoring.",Monitor Port Connections; Add to Active Watchlist; Review Internal Traffic,100,12,2026-06-05T22:07:50.984074,Bulk_Set-3_txt_20260605_220804
74,koyyada_rohith,213.230.87.28,Uzbekistan,"""Uzbektelekom"" Joint Stock Company",AS8193,38,Suspicious,"The investigated IP address (213.230.87.28) is classified as SUSPICIOUS with an aggregate risk score of 38/100. It is registered under '""Uzbektelekom"" Joint Stock Company' (AS8193) in Uzbekistan and operates as a 'Data Center/Web Hosting/Transit'. AbuseIPDB reputation reports an abuse confidence score of 61% based on 39 reports over the last 90 days. VirusTotal detected suspicious activity across 0 threat intelligence feeds. The IP is likely used as a public VPN proxy, crawling agent, or shared hosting node, warranting proactive network monitoring.",Monitor Port Connections; Add to Active Watchlist; Review Internal Traffic,61,0,2026-06-05T22:07:57.222946,Bulk_Set-3_txt_20260605_220804
75,koyyada_rohith,211.253.9.49,South Korea,PUBNET,AS4766,52,Suspicious,"The investigated IP address (211.253.9.49) is classified as SUSPICIOUS with an aggregate risk score of 52/100. It is registered under 'PUBNET' (AS4766) in South Korea and operates as a 'Fixed Line ISP'. AbuseIPDB reputation reports an abuse confidence score of 100% based on 4533 reports over the last 90 days. VirusTotal detected suspicious activity across 5 threat intelligence feeds. Tags identified: hosting. The IP is likely used as a public VPN proxy, crawling agent, or shared hosting node, warranting proactive network monitoring.",Monitor Port Connections; Add to Active Watchlist; Review Internal Traffic,100,5,2026-06-05T22:08:04.051385,Bulk_Set-3_txt_20260605_220804
